web_scraper_order,web_scraper_start_url,title,price,data,data2,data3,rating,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,image,image2
"1777074218-1","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe AEG SERIA 6000 LFR62944BE, 9 kg, 1400 rpm, Clasa A, ProSense, Motor Inverter, Display LED, Alb","2.399,97 Lei",",97","","","4","(7)","Prom8188ovajh3682t","","Lei","","Adauga in Cos","7 review-uri","","","","Voucher -10% Extra","","","","8188","jh3682","","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/90118/90117991/images/res_aa30fcd22afb0b73ef2777b1c4c88c9d.jpg?width=720&height=720&hash=D768560DD48F15FE28013D8C2AE75591",""
"1777074218-2","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe HEINNER HWM-HMK1014IVTA+++, 10 KG, 1400 RPM, Clasa A, MOTOR INVERTER, Control touch, Display digital, Program Allergy steam, Gri titanium","2.325,17 Lei",",17","","","4.8","(10)","Pro95cmoag11acv387gat","","Lei","","Adauga in Cos","10 review-uri","","","","RABLA eMAG - 150 de lei card cadou","","","","95c","ag11ac","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/104218/104217363/images/res_20855364e579cd842749b61238b114fd.jpg?width=720&height=720&hash=932D43F8D78994D5B98995CA581FDC18",""
"1777074218-3","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Samsung WW11DG5B25ABLE, 11 kg, 1400 rpm, Clasa A, AI Ecobubble, Super Speed 39 min, SpaceMax, Hygiene Steam, Negru","2.496,99 Lei",",99","","PRP: 3.149,99 Lei","4.8","(132)","","","Lei","","Adauga in Cos","132 de review-uri","Top Favorite","","","RABLA eMAG - 150 de lei card cadou","Lei","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Top Favorite","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/69129/69128945/images/res_b26740727d36d0d3982ca80d9081d44a.jpg?width=720&height=720&hash=83493B1DFA2F77EC379FBE4871342948","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-4","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Slim Heinner HWM-H7014IVSMTC+++, 7 kg, 1400 rpm, Clasa C, Motor Inverter, Display digital, Blocare acces copii, Gri","1.349,00 Lei",",00","","","4.69","(169)","","","Lei","","Adauga in Cos","169 de review-uri","Top Favorite","","","RABLA eMAG - 150 de lei card cadou","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Top Favorite","","","Compara","",",","","","https://s13emagst.akamaized.net/products/58820/58819743/images/res_4ff9a55442c82c3f4991786158154e62.jpg?width=720&height=720&hash=479A1BEFA29709F467E3859760EA2C73","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-5","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Bosch WAN2806NBY, 8 Kg, 1400 RPM, Iron Assist, EcoSilence Drive, Control electronic/touch, Speed Perfect, Clasa A, 60 cm, Alb/antracit","2.499,96 Lei",",96","","","","","Prohh6mo60evat","","Lei","","Adauga in Cos","","","","","Voucher -10% Extra","","","","hh6","60e","","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/116628/116627481/images/res_a230951cf16d42bb1e3c13cc1b415a49.png?width=720&height=720&hash=5B766E8F47DCC92A30E4F34BBD2D9D94",""
"1777074218-6","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Bosch WAN28164BY, 8 kg, 1400 RPM, Iron Assist, EcoSilence Drive, 60 cm, Clasa A, Alb","2.499,99 Lei",",99","","PRP: 3.498,99 Lei","4.61","(121)","","","Lei","","Adauga in Cos","121 de review-uri","Super Pret","","","5 ANI GARANȚIE","Lei","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Super Pret","Electro Weekend",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/63816/63815753/images/res_0d87764fec7bc6b3e7ef4185645bfe8d.jpg?width=720&height=720&hash=52EC5140653600B13E915E23006D0AA7","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-7","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Samsung WW90CGC04DABLE, 9 kg, 1400 RPM, Clasa A, Motor Digital Inverter, Eco Bubble, WiFi SmartThings, AI Energy, Negru","2.599,98 Lei",",98","","PRP: 2.789,99 Lei","4.71","(126)","","","Lei","","Adauga in Cos","126 de review-uri","Top Favorite","","","Voucher -10% Extra","Lei","","Rate 0% dobanda cu MyWallet","","","Top Favorite","Electro Weekend",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/62007/62006313/images/res_509c8888977ae2e444d92bc167968651.jpg?width=720&height=720&hash=CD78CB2FFEF1E1DD1323ED21A8A5E075","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-8","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Bosch WAN2826SBY, 8 Kg, 1400 RPM, Iron Assist, Hygiene Plus, EcoSilence Drive, Control electronic/touch, Speed Perfect, program Dark colors, Clasa A, 60 cm, Alb/antracit","2.499,96 Lei",",96","","","4.61","(121)","Promoc20vat","","Lei","","Adauga in Cos","121 de review-uri","","","","Voucher -10% Extra","","","","c20","","","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/116628/116627485/images/res_0b3127b875d2e392cdeaf385e2465467.png?width=720&height=720&hash=F0B0A8C3900145C947D211659755B413",""
"1777074218-9","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Samsung WW80FG3M05AWLF, 8 kg, 1400 rpm, Clasa A, Hygiene Steam, Drum Clean, Eco 40-60, Quick Wash 15', Digital Motor Inverter","1.799,99 Lei",",99","1.899,99 Lei","","5","(3)","",",99","Lei","în stoc","Adauga in Cos","3 review-uri","-5%","Lei","","","","","Rate 0% dobanda cu MyWallet","","","Super Pret","Smart Deals","","Compara","Super Pret",",",",","","https://s13emagst.akamaized.net/products/101050/101049115/images/res_17181db9aeaf0d3209a41b619300ba53.jpg?width=720&height=720&hash=009C517F61DEB42A9E11FFDBAC928A44","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-10","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Beko BM3WFSU47415WB, 7 kg, 1400 rpm, Clasa A, Motor ProSmart Inverter, SteamCure, AddXtra, EnergySpin, Coldwash, Alb","1.749,90 Lei",",90","","","4.59","(132)","","","Lei","","Adauga in Cos","132 de review-uri","Top Favorite","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Top Favorite","","","Compara","",",","","","https://s13emagst.akamaized.net/products/68577/68576896/images/res_c50b0c5acc32876e111a2755a4e255e7.jpg?width=720&height=720&hash=4D3D37BD6637B6DB4A72CC7CC93B9AF2","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-11","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Miele WWG660 WCS, Clasa A, 9 kg, 1400 rpm, TwinDos, CapDosing, Alb","7.334,96 Lei",",96","","","5","(1)","Promove524a4118t","","Lei","","Adauga in Cos","1 review","","","","Voucher -10% Extra","","","","e524","4118","","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/50078/50077435/images/res_bbeeaa90f049f6abbeec2e7f8998ef1f.jpg?width=720&height=720&hash=DD0789E1819906A1468DBBCD911B6CE0",""
"1777074218-12","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Samsung WW60A3120WE/LE, 6 kg, 1200 RPM, Clasa C, Hygiene Steam, Quick Wash 15 min, Alb","1.597,99 Lei",",99","","PRP: 1.719,99 Lei","4.59","(41)","","","Lei","","Adauga in Cos","41 de review-uri","Top Favorite","","","RABLA eMAG - 150 de lei card cadou","Lei","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Top Favorite","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/73642/73641874/images/res_62dbd859457807cc1d72827ed03b5fda.jpg?width=720&height=720&hash=03453E5586E3F319402A963CDAA56517","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
